video_id,title,description,channel_title,publish_time,view_count,like_count
TqNWJ6-bXw4,Reacting To The OFFICIAL Portugal EURO 2024 Squad...,AA9SKILLZ TALKS ABOUT PORTUGAL SQUAD FOR EURO 2024! ALL SOCIALS DOWN BELOW! ▻ Twitter: https://twitter.com/#!,MoreAA9Skillz,2024-05-28T17:00:17Z,22307,1362
X4kVdciCv9g,My EURO 2024 Prediction,"EURO 2024 in Germany is getting closer and now that we know all 24 participating nations, it's about time I predict it the groups + ...",Fiago,2024-04-09T17:40:10Z,200198,9393
Fl4IGS5KqAY,France Announce Official Euro 2024 Squad,,Pêche Football,2024-05-17T06:56:28Z,1144578,63181
C5B22ONbFrc,"MEDUZA, OneRepublic, Leony - Fire (Official UEFA EURO 2024 Song)","The Official Video for Fire (Official UEFA EURO 2024 Song) Supported by: ©2024 The Coca-Cola Company, AXE & LIDL LIDL ...",MeduzaVEVO,2024-05-24T04:00:06Z,288936,13737
4Q42klKvQQI,Official Euro 2024 Groups (UPDATED) 🇪🇺,,Pêche Football,2024-03-28T22:25:58Z,312112,24749
GwH_Lk8ppzo,Worst vs Best EURO 2024 Stadiums,,Fiago,2024-05-21T14:47:09Z,265877,26836
bfDwD-vamZY,🇩🇪 UEFA Euro 2024 Germany: Stadium Update,the selected stadiums has nevertheless taken place. Let's take a look at all the stadiums for the upcoming Euros and discuss what ...,StadiumDB.com,2024-04-20T10:00:34Z,98683,1513
C-ybaHEsejA,Euro 2024 predictions: Watch Jamie Carragher choose his winner,Will this summer be the moment when an England team finally ends the 58-year wait to lift a major men's trophy? Or will it be more ...,The Telegraph,2024-05-21T14:56:37Z,770605,12854
x64ALM9ndrw,Records That WILL Be Broken at EURO 2024,,HRVizak,2024-05-17T13:06:07Z,104726,10337
wAdjWW1WJws,My EURO 2024 Predictions!,"This summer in Germany, the EURO 2024 tournament is packed with storylines. Can France avenge their 2016 final loss and win ...",Nabhuto,2024-05-24T12:01:02Z,69311,2175
t6RO2NIuOhM,Italy Announce Official EURO 2024 Squad 🇮🇹,,Pêche Football,2024-05-24T21:12:42Z,173519,13882
I2aBc8mexM0,The WORST Group of EURO 2024 📉,,Fiago,2024-04-24T22:32:16Z,241637,20427
9knNybpo0Dk,"I Simulated EURO 2024 10,000 Times.",Secure your privacy with Surfshark! Enter coupon code ALLCOTT for an extra 3 months free at https://surfshark.deals/allcott Many ...,James Lawrence Allcott,2024-04-26T11:00:09Z,166953,5926
oakU60p36b0,Ranking EVERY Country in EURO 2024,SUBSCRIBE TO @MichaelTalksFootball1 https://www.youtube.com/@MichaelTalksFootball1 Tier list for every EURO 2024 ...,HRVizak,2024-05-01T11:30:20Z,85754,3307
bf8L2vWwT10,Euro 2024 Winner According to Google 🤩,,FootballX ,2024-05-18T13:13:27Z,145646,8871
utW_TevPayQ,Croatia Release Euro 2024 squad 🇭🇷,,Pêche Football,2024-05-28T20:50:32Z,41225,4868
9zNcWZDMdxs,England 3-1 Italy | Kane &amp; Rashford Send England EURO 2024 Bound! | Highlights,SUBSCRIBE to ensure you don't miss a video from the England YouTube channel. Hit the bell to get notifications on our latest ...,England,2023-10-18T09:11:17Z,3624787,47647
yWmlOSAPXUU,Ashley Young Names His England Starting XI For EURO 2024 😱🔥,Subscribe: https://youtube.com/c/talkSPORT Enjoyed this YouTube video? 🖥️ talkSPORT's Website: https://talksport.com/ ...,talkSPORT,2024-05-21T17:45:03Z,220757,4367
tqPZf_G01k0,"TOP 10 ỨNG VIÊN SÁNG GIÁ NHẤT VÔ ĐỊCH EURO 2024: ANH - PHÁP ĐỒNG CÂN ĐỒNG LẠNG, BẤT NGỜ BỒ ĐÀO NHA","TOP 10 ỨNG VIÊN SÁNG GIÁ NHẤT VÔ ĐỊCH EURO 2024: ANH - PHÁP ĐỒNG CÂN ĐỒNG LẠNG, BẤT NGỜ BỒ ĐÀO NHA ...",BLV Mai Anh Tài,2024-05-28T11:00:58Z,55360,390
pCPPEngwwCA,EURO 2024 - The official intro,COPYRIGHT UEFA We're gonna have a lot of memories associated with this intro #euro2024 #football #uefa #championsleague.,Kevin Çika,2023-12-02T10:49:27Z,594649,6356
5m8m9DxO_u8,UEFA Euro 2024 Stadiums,Get football jerseys at https://www.socceratoz.co/members/7BLeAzy and use 10% discount code: TFC The UEFA Euro 2024 will ...,TFC Stadiums,2024-05-13T12:00:06Z,40167,899
TJk6TmwEPNU,&quot;Winning the Euros would mean MORE than the Treble&quot; 🤯 | Kyle Walker on England&#39;s Euro 2024 chances 🏆,SUBSCRIBE ▻ https://bit.ly/SubscribeSkyFootball Manchester City and England defender Kyle Walker on England's hopes at the ...,Sky Sports Football,2024-05-24T17:00:20Z,79842,1142
6w9VrlI6MNo,Will this team win Italy Euro 2024? 🇮🇹,,Pêche Football,2024-03-29T00:24:24Z,635409,40222
zzFdO1OLIbQ,EURO 2024 PREVIEW: NETHERLANDS,Netherlands a former winner of the Euros have severely underperformed in the past year. Can Koeman and the players rectify ...,Michael Talks Football,2024-05-25T12:54:02Z,6415,145
86RuczgcR2Y,Portugal vs England 3-0 | Ronaldo Hattrick EURO 2024 Qualifiers Highlights &amp; Goals,"Portugal vs England 3-0 | Ronaldo Hattrick EURO 2024 Qualifiers Highlights & Goals Tags : Portugal, England, Portugal vs ...",STARTING BOLA,2024-05-26T11:35:00Z,41378,428
GDVSCu4kM20,Where Every National Teams Stays During EURO 2024,,Fiago,2024-05-05T19:27:41Z,482124,40308
szkhCsloySA,Who will be cut from England&#39;s provisional squad for Euro 2024?,Subscribe to Sky Sports News: http://bit.ly/SkySportsNewsSub England manager Gareth Southgate announced his 33-player ...,Sky Sports News,2024-05-22T13:00:50Z,51240,478
Ynli2adGZrc,EURO 2024 IMPERIALISM,Go to https://expressvpn.com/Pazjor and find out how you can get 3 months of ExpressVPN free! All 24 nations from EURO 2024 ...,Pazjor,2024-04-28T12:00:35Z,692647,12955
70WTQCfneIU,Emilian - Romania ( Euro 2024 ),Aceasta piesa am facut-o fix dupa ce Romania a terminat meciul cu Elvetia dintr-un entuziasm si o bucurie greu de descris.,Emilian,2023-11-23T09:23:47Z,1915259,36118
7_Y_Onq9rB8,The EURO 2024 Group Of Death 😳,,Fiago,2024-04-13T08:12:12Z,242279,21078
L91t63kCXVY,Finalni spisak Srbije za EURO 2024: Ovi igrači idu za Nemačku! Piksi bez Radonjića i Erakovića! 🇷🇸,srbija #fudbal #euro2024 Spisak reprezentacije Srbije za EURO 2024 u Nemačkoj! Šta vi kažete? Koga bi vi vodili da ste u ulozi ...,Adriatik Fudbal,2024-05-28T15:00:17Z,8541,663
uuUHWoyKOz8,Who Will Be The Underdog in EURO 2024?,,HRVizak,2024-05-24T20:01:56Z,105516,5464
